Theta [deg],dB(GainPhi) [] - Freq='60GHz' Phi='0deg',dB(GainPhi) [] - Freq='60GHz' Phi='90deg',dB(GainTheta) [] - Freq='60GHz' Phi='0deg',dB(GainTheta) [] - Freq='60GHz' Phi='90deg'
-82,-55.89622746,-6.272646954,-2.171322322,-18.60643706
-81,-55.94743551,-5.998286525,-1.964010426,-18.46741033
-80,-56.00497041,-5.724286977,-1.755672384,-18.32906632
-79,-56.06829725,-5.450733688,-1.546475521,-18.19149847
-78,-56.13670798,-5.177709817,-1.336583433,-18.05480852
-77,-56.20930349,-4.905296573,-1.126156398,-17.91910593
-76,-56.2849756,-4.63357347,-0.915351753,-17.78450725
-75,-56.36239026,-4.362618563,-0.704324212,-17.65113552
-74,-56.43997436,-4.09250866,-0.493226139,-17.51911978
-73,-56.51590865,-3.823319518,-0.282207773,-17.38859447
-72,-56.5881305,-3.555126019,-0.071417394,-17.25969897
-71,-56.65435017,-3.28800233,0.138998556,-17.13257712
-70,-56.71208494,-3.022022046,0.3488954,-17.00737678
-69,-56.75871449,-2.757258318,0.558130192,-16.88424941
-68,-56.7915599,-2.49378397,0.766561731,-16.76334977
-67,-56.8079859,-2.231671604,0.974050602,-16.64483553
-66,-56.80552267,-1.970993698,1.180459257,-16.52886702
-65,-56.78199943,-1.711822693,1.38565211,-16.41560704
-64,-56.73567773,-1.454231073,1.589495674,-16.30522059
-63,-56.66537032,-1.198291442,1.791858693,-16.19787483
-62,-56.57053036,-0.944076592,1.992612312,-16.09373891
-61,-56.45129909,-0.691659569,2.191630234,-15.99298401
-60,-56.30850488,-0.441113729,2.388788905,-15.89578335
-59,-56.14361401,-0.192512802,2.583967683,-15.80231223
-58,-55.9586402,0.054069067,2.777049022,-15.71274827
-57,-55.75602545,0.298557264,2.967918641,-15.62727153
-56,-55.53850696,0.540876668,3.156465694,-15.54606485
-55,-55.30898472,0.780951615,3.342582925,-15.46931419
-54,-55.07040125,1.018705867,3.526166823,-15.39720901
-53,-54.82564131,1.254062592,3.707117749,-15.3299428
-52,-54.5774551,1.486944341,3.885340062,-15.26771362
-51,-54.32840508,1.717273043,4.060742222,-15.21072475
-50,-54.08083408,1.944970004,4.233236875,-15.1591854
-49,-53.83685119,2.169955912,4.402740928,-15.11331152
-48,-53.59833125,2.392150852,4.569175592,-15.07332666
-47,-53.36692406,2.61147433,4.73246642,-15.03946298
-46,-53.14406994,2.827845309,4.892543312,-15.01196226
-45,-52.93101894,3.041182245,5.049340509,-14.99107709
-44,-52.72885155,3.251403146,5.202796565,-14.97707211
-43,-52.53849949,3.458425623,5.352854294,-14.97022539
-42,-52.36076568,3.662166965,5.499460706,-14.97082993
-41,-52.19634267,3.862544212,5.642566918,-14.97919525
-40,-52.04582926,4.05947424,5.782128047,-14.9956492
-39,-51.90974526,4.252873854,5.918103089,-15.02053985
-38,-51.7885442,4.44265988,6.05045478,-15.0542377
-37,-51.68262428,4.628749278,6.179149444,-15.09713796
-36,-51.59233744,4.811059242,6.304156822,-15.14966324
-35,-51.51799688,4.989507322,6.425449896,-15.21226644
-34,-51.45988299,5.164011532,6.543004697,-15.2854341
-33,-51.41824777,5.334490481,6.65680011,-15.3696901
-32,-51.39331798,5.500863486,6.76681767,-15.46559997
-31,-51.3852968,5.663050703,6.873041354,-15.57377577
-30,-51.3943642,5.820973247,6.975457368,-15.69488182
-29,-51.42067584,5.974553321,7.074053943,-15.82964129
-28,-51.46436044,6.123714337,7.168821123,-15.97884401
-27,-51.52551545,6.26838104,7.259750567,-16.14335563
